trip_id,day_of_week,destination,time_of_day,weather,trip_duration,item,item_importance,item_relevance,times_carried_before,previous_forget_count,forgot
1,Monday,Gym,Morning,Sunny,Medium,Phone,0.98,0.656,11,0,0
1,Monday,Gym,Morning,Sunny,Medium,ID_Card,0.9,0.147,3,3,1
1,Monday,Gym,Morning,Sunny,Medium,Keys,0.93,0.469,5,0,0
2,Saturday,College,Morning,Hot,Short,Water_Bottle,0.45,0.964,13,1,0
2,Saturday,College,Morning,Hot,Short,Keys,0.93,0.519,10,0,0
2,Saturday,College,Morning,Hot,Short,Notebook,0.5,0.938,17,3,0
2,Saturday,College,Morning,Hot,Short,Laptop,0.8,0.941,20,0,0
2,Saturday,College,Morning,Hot,Short,Wallet,0.95,0.73,13,0,0
2,Saturday,College,Morning,Hot,Short,Earphones,0.4,0.633,7,1,0
2,Saturday,College,Morning,Hot,Short,Charger,0.55,0.828,14,3,1
3,Friday,College,Morning,Hot,Short,ID_Card,0.9,0.865,17,0,0
3,Friday,College,Morning,Hot,Short,Water_Bottle,0.45,0.871,14,1,0
3,Friday,College,Morning,Hot,Short,Keys,0.93,0.581,11,0,1
3,Friday,College,Morning,Hot,Short,Laptop,0.8,0.971,18,0,0
3,Friday,College,Morning,Hot,Short,Phone,0.98,0.883,17,0,0
3,Friday,College,Morning,Hot,Short,Notebook,0.5,0.853,10,0,0
4,Thursday,Other,Morning,Sunny,Short,ID_Card,0.9,0.328,8,1,0
4,Thursday,Other,Morning,Sunny,Short,Notebook,0.5,0.141,5,2,1
4,Thursday,Other,Morning,Sunny,Short,Laptop,0.8,0.356,6,1,1
4,Thursday,Other,Morning,Sunny,Short,Charger,0.55,0.361,9,0,1
4,Thursday,Other,Morning,Sunny,Short,Umbrella,0.35,0.092,4,1,1
4,Thursday,Other,Morning,Sunny,Short,Wallet,0.95,0.599,14,1,0
4,Thursday,Other,Morning,Sunny,Short,Keys,0.93,0.552,8,0,1
5,Thursday,College,Night,Cold,Medium,ID_Card,0.9,0.894,13,0,0
5,Thursday,College,Night,Cold,Medium,Laptop,0.8,0.953,18,1,1
5,Thursday,College,Night,Cold,Medium,Phone,0.98,0.895,18,0,0
5,Thursday,College,Night,Cold,Medium,Charger,0.55,0.872,14,1,0
5,Thursday,College,Night,Cold,Medium,Earphones,0.4,0.522,9,1,1
5,Thursday,College,Night,Cold,Medium,Wallet,0.95,0.775,13,1,0
5,Thursday,College,Night,Cold,Medium,Notebook,0.5,0.942,9,3,1
5,Thursday,College,Night,Cold,Medium,Keys,0.93,0.583,5,1,0
6,Sunday,Office,Afternoon,Hot,Short,Keys,0.93,0.577,14,0,0
6,Sunday,Office,Afternoon,Hot,Short,Phone,0.98,0.962,11,0,0
6,Sunday,Office,Afternoon,Hot,Short,ID_Card,0.9,0.777,10,0,0
6,Sunday,Office,Afternoon,Hot,Short,Notebook,0.5,0.498,12,3,1
6,Sunday,Office,Afternoon,Hot,Short,Charger,0.55,0.765,11,1,0
6,Sunday,Office,Afternoon,Hot,Short,Laptop,0.8,0.808,12,1,0
6,Sunday,Office,Afternoon,Hot,Short,Water_Bottle,0.45,0.865,9,0,0
7,Monday,Office,Morning,Cold,Long,Wallet,0.95,0.666,7,0,1
7,Monday,Office,Morning,Cold,Long,Laptop,0.8,0.828,12,0,0
